plate,well,ramp-treatment,stress-treatment,conical,time,value
3,F3,NA,NA,3,0,0
3,F3,NA,NA,3,1,0
3,F3,NA,NA,3,2,1
3,F4,NA,NA,3,0,0
3,F4,NA,NA,3,1,0
3,F4,NA,NA,3,2,1
3,F5,NA,NA,4,0,0
3,F5,NA,NA,4,1,0
3,F5,NA,NA,4,2,0
3,F6,NA,NA,4,0,0
3,F6,NA,NA,4,1,0
3,F6,NA,NA,4,2,0
3,F7,NA,NA,5,0,0
3,F7,NA,NA,5,1,0
3,F7,NA,NA,5,2,0
3,F8,NA,NA,5,0,0
3,F8,NA,NA,5,1,0
3,F8,NA,NA,5,2,0
3,F9,NA,NA,6,0,0
3,F9,NA,NA,6,1,0
3,F9,NA,NA,6,2,0
3,F10,NA,NA,6,0,0
3,F10,NA,NA,6,1,0
3,F10,NA,NA,6,2,0
3,F11,NA,NA,7,0,0
3,F11,NA,NA,7,1,0
3,F11,NA,NA,7,2,0
3,F12,NA,NA,7,0,0
3,F12,NA,NA,7,1,0
3,F12,NA,NA,7,2,0
3,G1,NA,NA,2,0,0
3,G1,NA,NA,2,1,0
3,G1,NA,NA,2,2,0
3,G2,NA,NA,2,0,0
3,G2,NA,NA,2,1,0
3,G2,NA,NA,2,2,0
3,G3,NA,NA,3,0,0
3,G3,NA,NA,3,1,0
3,G3,NA,NA,3,2,0
3,G4,NA,NA,3,0,0
3,G4,NA,NA,3,1,0
3,G4,NA,NA,3,2,0
3,G5,NA,NA,4,0,0
3,G5,NA,NA,4,1,0
3,G5,NA,NA,4,2,0
3,G6,NA,NA,4,0,0
3,G6,NA,NA,4,1,0
3,G6,NA,NA,4,2,0
3,G7,NA,NA,5,0,0
3,G7,NA,NA,5,1,0
3,G7,NA,NA,5,2,0
3,G8,NA,NA,5,0,0
3,G8,NA,NA,5,1,0
3,G8,NA,NA,5,2,0
3,G9,NA,NA,6,0,0
3,G9,NA,NA,6,1,0
3,G9,NA,NA,6,2,0
3,G10,NA,NA,6,0,0
3,G10,NA,NA,6,1,0
3,G10,NA,NA,6,2,0
3,G11,NA,NA,7,0,0
3,G11,NA,NA,7,1,0
3,G11,NA,NA,7,2,0
3,G12,NA,NA,7,0,0
3,G12,NA,NA,7,1,0
3,G12,NA,NA,7,2,0
3,H1,NA,NA,2,0,0
3,H1,NA,NA,2,1,0
3,H1,NA,NA,2,2,0
3,H2,NA,NA,2,0,0
3,H2,NA,NA,2,1,0
3,H2,NA,NA,2,2,0
3,H3,NA,NA,3,0,0
3,H3,NA,NA,3,1,0
3,H3,NA,NA,3,2,0
3,H4,NA,NA,3,0,0
3,H4,NA,NA,3,1,0
3,H4,NA,NA,3,2,0
3,H5,NA,NA,4,0,0
3,H5,NA,NA,4,1,0
3,H5,NA,NA,4,2,0
3,H6,NA,NA,4,0,0
3,H6,NA,NA,4,1,0
3,H6,NA,NA,4,2,0
3,H7,NA,NA,5,0,0
3,H7,NA,NA,5,1,0
3,H7,NA,NA,5,2,0
3,H8,NA,NA,5,0,0
3,H8,NA,NA,5,1,0
3,H8,NA,NA,5,2,0
3,H9,NA,NA,6,0,0
3,H9,NA,NA,6,1,0
3,H9,NA,NA,6,2,0
3,H10,NA,NA,6,0,0
3,H10,NA,NA,6,1,0
3,H10,NA,NA,6,2,0
3,H11,NA,NA,7,0,0
3,H11,NA,NA,7,1,0
3,H11,NA,NA,7,2,0
3,H12,NA,NA,7,0,0
3,H12,NA,NA,7,1,0
3,H12,NA,NA,7,2,0
